number,value,params_batch_size,params_buffer_size,params_exploration_final_eps,params_exploration_fraction,params_exploration_initial_eps,params_gamma,params_learning_rate,state
0,-95.565657,64,250000,0.05547738227856219,0.36609663472330733,0.9134652309437916,0.9222136365364523,0.00012976691375710006,COMPLETE
1,-170.0,64,250000,0.08919244777180182,0.4839961228603622,0.9661314175283754,0.9425053736702872,0.0006756370963965783,COMPLETE
2,-243.204417,32,450000,0.03904676080352201,0.41723916657333304,0.9430939736406444,0.9158271098788607,0.0002903674431352687,COMPLETE
3,-411.28747899999996,64,100000,0.029121597711337065,0.34569605002499065,0.9952862827017248,0.934350495497901,2.169004224558922e-05,COMPLETE
4,-372.094128,64,400000,0.02129820489509191,0.38767530323031985,0.9637869759883435,0.9969268833858131,0.00033955433465516404,COMPLETE
5,-170.0,32,200000,0.07257767369467925,0.33645245875376406,0.9597933351008513,0.9020393736391811,0.0005222373856824106,COMPLETE
6,-480.0,64,50000,0.01522423154484438,0.3517708373467461,0.8291121267621393,0.965092169958158,1.4906159807591359e-05,COMPLETE
7,-65.360468,32,200000,0.0373863964069779,0.13860321409173235,0.953302780763309,0.957292347858493,0.0001476330210041902,COMPLETE
8,-296.817662,64,200000,0.060389510660717904,0.21651576614637486,0.8167017723484347,0.9441686120260998,0.00016005561635567427,COMPLETE
9,-146.599656,32,100000,0.05733727439321535,0.44390530544144635,0.9918326328490117,0.9333406801112475,3.713507690247172e-05,COMPLETE
10,-81.554319,32,350000,0.03796956397015284,0.10607312278919157,0.8659415303698154,0.9677686315726001,4.757866171703176e-05,COMPLETE
11,-453.461096,32,350000,0.03892287813580832,0.10979110881012095,0.8656179937147952,0.9692616866149949,5.520541186874911e-05,COMPLETE
12,-183.299861,32,350000,0.03589281897702828,0.11354611279031905,0.8861018161178685,0.9665224850533412,6.312651714746671e-05,COMPLETE
13,-331.313889,32,500000,0.04571276925145389,0.19219460009421563,0.855174328894737,0.9850374678830047,0.00011352187456461092,COMPLETE
14,-189.968255,32,300000,0.010314462801293386,0.1907734509995884,0.9155979825396333,0.9572269839770966,3.464976075034895e-05,COMPLETE
