number,value,params_batch_size,params_buffer_size,params_decay_rate,params_exploration_final_eps,params_exploration_fraction,params_exploration_initial_eps,params_gamma,params_initial_lr,state
0,-100.2282266,64,200000,0.6987625735395208,0.03917975032501659,0.21811719578000394,0.8561040854850479,0.941561537821525,0.0001939551678979857,COMPLETE
1,150.40725879999997,64,100000,0.2848024410715837,0.05200170127315969,0.16459081315604235,0.8978391837989212,0.9151171251846341,2.7205517478676396e-05,COMPLETE
2,-229.82169480000002,64,200000,0.6662180753556646,0.0256362973178453,0.11915366898391322,0.910144941234369,0.9109260981489825,0.0004749909046349444,COMPLETE
3,-152.973371,64,200000,0.45162094729522817,0.08314064775542582,0.42077543458823463,0.8104407061871455,0.9173493052943823,2.571124543522644e-05,COMPLETE
4,-180.5189178,32,200000,0.13392345840279046,0.061945567918243336,0.49609736210230315,0.9057462546402122,0.9735629416689012,0.0008898301282372999,COMPLETE
5,-198.49060500000002,32,200000,0.1327609812463483,0.04164061216678121,0.4462995583253705,0.8256954142685585,0.9311905709557193,0.0002960394956119552,COMPLETE
6,-28.017049600000007,64,200000,0.35201840050787414,0.07466479090033983,0.1846693542123648,0.9945146793801002,0.928404960858939,0.00015228014315141162,COMPLETE
7,-145.2461176,32,200000,0.4838470817422579,0.05108886905769067,0.3197508659020958,0.8200969260182142,0.9156852135807796,0.00013713659820468292,COMPLETE
8,-217.2823794,32,100000,0.5974217224102119,0.047505749700490096,0.29486417465169623,0.8258619561648177,0.9474586068544312,0.00042046234871876467,COMPLETE
9,-116.8859699,64,100000,0.4361141811093411,0.07428843698063972,0.17874065999840308,0.9329579901040137,0.9374278071857322,0.0004811487553917743,COMPLETE
